11:20	18/01/2019
Fry Edward, Lam Yik Yau
6
Time / sec	Conductance / µS
531.109	2722.000
532.109	2722.000
533.109	2722.000
534.110	2722.000
535.111	2722.000
536.110	2723.000
537.110	2724.000
538.111	2724.000
539.110	2724.000
540.111	2724.000
541.111	2724.000
542.111	2725.000
543.112	2725.000
544.113	2725.000
545.113	2725.000
546.114	2726.000
547.114	2726.000
548.114	2726.000
549.115	2726.000
550.116	2726.000
551.116	2727.000
552.115	2727.000
553.115	2728.000
554.116	2728.000
555.115	2728.000
556.115	2728.000
557.115	2728.000
558.117	2729.000
559.117	2729.000
560.117	2730.000
561.116	2730.000
562.116	2730.000
563.116	2731.000
564.116	2731.000
565.116	2731.000
566.116	2731.000
567.116	2731.000
568.117	2731.000
569.117	2731.000
570.116	2731.000
571.118	2732.000
572.117	2732.000
573.118	2733.000
574.118	2733.000
575.118	2733.000
576.118	2734.000
577.119	2734.000
578.120	2734.000
579.119	2734.000
580.119	2734.000
581.121	2734.000
582.122	2958.000
583.121	2958.000
584.122	2734.000
585.122	2736.000
586.122	2735.000
587.122	2736.000
588.122	2736.000
589.123	2736.000
590.124	2959.000
591.124	2960.000
592.124	2960.000
593.123	2960.000
594.123	2737.000
595.124	2961.000
596.124	2738.000
597.124	2960.000
598.125	2738.000
599.126	2961.000
600.125	2739.000
601.126	2739.000
602.126	2961.000
603.127	2961.000
604.127	2961.000
605.126	2961.000
606.127	2739.000
607.128	2740.000
608.128	2739.000
609.128	2962.000
610.129	2962.000
611.129	2740.000
612.129	2963.000
613.130	2962.000
614.130	2741.000
615.129	2963.000
616.130	2963.000
617.129	2963.000
618.129	2963.000
619.129	2963.000
620.130	2963.000
621.130	2741.000
622.130	2964.000
623.130	2964.000
624.130	2965.000
625.131	2744.000
626.130	2966.000
627.130	2965.000
628.130	2966.000
629.130	2967.000
630.130	2967.000
631.131	2967.000
632.130	2968.000
633.131	2968.000
634.131	2968.000
635.132	2968.000
636.131	2968.000
637.132	2969.000
638.133	2969.000
639.132	2969.000
640.133	2969.000
641.132	2970.000
642.133	2970.000
643.132	2970.000
644.133	2970.000
645.134	2971.000
646.133	2969.000
647.133	2970.000
648.133	2970.000
649.133	2971.000
650.134	2971.000
